Id,Ref,Boitier,Qu,Qu Boards,Designation,No Digikey,Nb. boards,5
1,D1,LED_CREE_CLM3A,1,5,CLM3C-MKW-CW,CLM3C-MKW-CWAXB233CT-ND,,
2,"C1,C14",C_0603,2,10,4.7uF,445-7482-1-ND,,
3,"R6,R7,R8,R5",R_0402,4,20,1k,311-1.00KLRCT-ND,,
4,C4,C_0603,1,5,1uF,1276-1182-1-ND,,
5,"C11,C2,C3,C7,C13,C6",C_0402,6,30,0.1uF,490-13341-1-ND,,
7,C5,C_0603,1,5,10uF,490-10474-1-ND,,
8,"C8,C9",C_0402,2,10,10pF,490-6186-1-ND,,
9,"CONN2,CONN3",_Molex-PicoBlade-SMD-4,2,10,WM7622CT-ND,WM7622CT-ND,,
10,"R1,R9,R2",R_0402,3,15,47k,311-47.0KLRCT-ND,,
11,"R3,R4",R_0402,2,10,4.7k,ERJ-2RKF4701X,,
12,U1,QFN-32-1EP_5x5mm_Pitch0.5mm,1,5,STM32F302K8U6,STM32F302K8U6,,
13,U2,DFN-8-1EP_3x3mm_Pitch0.5mm,1,5,LTC2875IDD#PBF,LTC2875IDD#PBF,,
14,X1,_TSX-3225-SMD-XTAL,1,5,16MHz,FL1600087CT-ND,,
16,D2,R_0603,1,5,LTST-S270KGKT,160-1478-1-ND,,
17,D3,R_0603,1,5,LTST-S270KRKT,160-1479-1-ND,,
18,Q1,SOT-23,1,5,BSS138,BSS138LT1GOSCT-ND,,
19,U5,DFN-6-_2x2.4x0.65mm_P0.65mm,1,5,TCS3472X,TCS34725FNCT-ND,,
20,U4,VL6180X,1,5,VL6180X,497-14702-1-ND,,
21,CONN1,_Pin2mm_7z,1,5,,,,
22,U3,SOT-89-3,1,5,MCP1703-MB,MCP1703T-3002E/MBCT-ND,,
